doi,title,publication_date,first_author_name,last_author_name,open_access_url
https://doi.org/10.4230/oasics.icpec.2025.4,Can Open Large Language Models Catch Vulnerabilities?,2025-01-01,DeepSeek-AI,DeepSeek-AI,https://arxiv.org/pdf/2501.12948
https://doi.org/10.1109/tai.2025.3567369,TrumorGPT: Graph-Based Retrieval-Augmented Large Language Model for Fact-Checking,2025-05-05,Ching Nam Hang,Chee Wei Tan,https://arxiv.org/pdf/2505.07891
https://doi.org/10.4230/lipics.giscience.2025.5,Analysis of Points of Interests Recommended for Leisure Walk Descriptions,2024-10-10,Payal Bajaj,"Hagen, Matthias",https://arxiv.org/pdf/1611.09268
https://doi.org/10.48550/arxiv.2401.09417,Vision Mamba: Efficient Visual Representation Learning with Bidirectional State Space Model,2024-01-17,Lianghui Zhu,Xinggang Wang,https://arxiv.org/pdf/2401.09417
https://doi.org/10.4230/lipics.giscience.2025.3,Enriching Location Representation with Detailed Semantic Information,2024-01-01,"Muehlburger, Herbert","Wotawa, Franz",https://arxiv.org/pdf/2407.21783
https://doi.org/10.48550/arxiv.2403.05530,Gemini 1.5: Unlocking multimodal understanding across millions of tokens of context,2024-03-08,Gemini Robotics Team,Chih‐Kuan Yeh,https://arxiv.org/pdf/2403.05530
https://doi.org/10.1109/tgrs.2024.3417253,ChangeMamba: Remote Sensing Change Detection With Spatiotemporal State Space Model,2024-01-01,Hongruixuan Chen,Naoto Yokoya,https://arxiv.org/pdf/2404.03425
https://doi.org/10.48550/arxiv.2402.07927,A Systematic Survey of Prompt Engineering in Large Language Models: Techniques and Applications,2024-02-05,Pranab Sahoo,Aman Chadha,https://arxiv.org/pdf/2402.07927
https://doi.org/10.48550/arxiv.2401.01313,A Comprehensive Survey of Hallucination Mitigation Techniques in Large Language Models,2024-01-02,S. M Towhidul Islam Tonmoy,Amitava Das,https://arxiv.org/pdf/2401.01313
https://doi.org/10.48550/arxiv.2302.13971,LLaMA: Open and Efficient Foundation Language Models,2023-02-27,Hugo Touvron,Guillaume Lample,https://arxiv.org/pdf/2302.13971
https://doi.org/10.4230/lipics.cosit.2024.11,GPT-4 Technical Report,2023-03-15,"Wijegunarathna, Kalana","Jones, Christopher B.",https://arxiv.org/pdf/2303.08774
https://doi.org/10.48550/arxiv.2303.12712,Sparks of Artificial General Intelligence: Early experiments with GPT-4,2023-03-22,Sébastien Bubeck,Yi Zhang,https://arxiv.org/pdf/2303.12712
https://doi.org/10.48550/arxiv.2303.18223,A Survey of Large Language Models,2023-03-31,Wayne Xin Zhao,Ji-Rong Wen,https://arxiv.org/pdf/2303.18223
https://doi.org/10.48550/arxiv.2304.07193,DINOv2: Learning Robust Visual Features without Supervision,2023-04-14,Maxime Oquab,Piotr Bojanowski,https://arxiv.org/pdf/2304.07193
https://doi.org/10.48550/arxiv.2312.00752,Mamba: Linear-Time Sequence Modeling with Selective State Spaces,2023-12-01,Albert Gu,Tri Dao,https://arxiv.org/pdf/2312.00752
https://doi.org/10.48550/arxiv.2301.12597,BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and Large Language Models,2023-01-30,Junnan Li,Steven C. H. Hoi,https://arxiv.org/pdf/2301.12597
https://doi.org/10.48550/arxiv.2302.11382,A Prompt Pattern Catalog to Enhance Prompt Engineering with ChatGPT,2023-02-21,Jules White,Douglas C. Schmidt,https://arxiv.org/pdf/2302.11382
https://doi.org/10.1002/asi.24750,<scp>ChatGPT</scp> and a new academic reality: <scp>Artificial Intelligence‐written</scp> research papers and the ethics of the large language models in scholarly publishing,2023-03-10,Brady Lund,Ziang Wang,https://arxiv.org/pdf/2303.13367
https://doi.org/10.48550/arxiv.2304.08485,Visual Instruction Tuning,2023-04-17,Haotian Liu,Yong Jae Lee,https://arxiv.org/pdf/2304.08485
https://doi.org/10.48550/arxiv.2312.10997,Retrieval-Augmented Generation for Large Language Models: A Survey,2023-12-18,Yunfan Gao,"Wang, Haofen",https://arxiv.org/pdf/2312.10997
https://doi.org/10.48550/arxiv.2305.10601,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,2023-05-17,Shunyu Yao,Karthik Narasimhan,https://arxiv.org/pdf/2305.10601
https://doi.org/10.48550/arxiv.2303.10130,GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models,2023-03-17,Tyna Eloundou,Daniel L. Rock,https://arxiv.org/pdf/2303.10130
