work_id,openalex_url,doi,title,publication_year,publication_date,work_type,crossref_type,language,cited_by_count,fwci,cited_by_percentile_year_min,cited_by_percentile_year_max,referenced_works_count,locations_count,is_retracted,is_paratext,is_open_access,open_access_status,open_access_url,any_repository_has_fulltext,primary_source_id,primary_source_name,primary_source_type,primary_source_issn_l,primary_source_publisher,primary_landing_page_url,primary_pdf_url,primary_license,primary_version,primary_is_oa,primary_topic_id,primary_topic_name,primary_subfield_name,primary_field_name,primary_domain_name,author_count,institution_count,country_count,country_codes,first_author_name,last_author_name,matched_query_terms,matched_query_count,retrieval_modes,frontier_ai_relevance_score
W7118085507,https://openalex.org/W7118085507,https://doi.org/10.1007/s41019-025-00335-5,Retrieval-Augmented Generation for AI-Generated Content: A Survey,2026,2026-01-02,article,,en,32,495.4107,99.0,100.0,198,2,False,False,True,diamond,https://doi.org/10.1007/s41019-025-00335-5,True,S2486411021,Data Science and Engineering,journal,2364-1185,Springer Science+Business Media,https://doi.org/10.1007/s41019-025-00335-5,,cc-by-nc-nd,publishedVersion,True,T10028,Topic Modeling,Artificial Intelligence,Computer Science,Physical Sciences,10,3,1,CN,Penghao Zhao,Bin Cui,retrieval augmented generation,1,top_cited,1
W4394947112,https://openalex.org/W4394947112,https://doi.org/10.1145/3805774,A Survey on Retrieval-Augmented Text Generation for Large Language Models,2026,2026-04-09,preprint,,en,23,141.5459,98.0,100.0,30,3,False,False,True,hybrid,https://doi.org/10.1145/3805774,True,S157921468,ACM Computing Surveys,journal,0360-0300,Association for Computing Machinery,https://doi.org/10.1145/3805774,,cc-by,publishedVersion,True,T10028,Topic Modeling,Artificial Intelligence,Computer Science,Physical Sciences,2,1,1,CA,Yizheng Huang,Jimmy Xiangji Huang,retrieval augmented generation,1,top_cited,2
W4404570405,https://openalex.org/W4404570405,https://doi.org/10.3390/electronics15091824,"Bias in Large Language Models: Origin, Evaluation, and Mitigation",2026,2026-04-24,preprint,,en,14,68.0235,98.0,99.0,0,3,False,False,True,gold,https://www.mdpi.com/2079-9292/15/9/1824/pdf?version=1777040052,True,S4210202905,Electronics,journal,2079-9292,Multidisciplinary Digital Publishing Institute,https://doi.org/10.3390/electronics15091824,https://www.mdpi.com/2079-9292/15/9/1824/pdf?version=1777040052,cc-by,publishedVersion,True,T10181,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,8,4,1,US,Yufei Guo,Shuo Shuo Liu,large language model,1,newest,2
W7124177090,https://openalex.org/W7124177090,https://doi.org/10.1038/s41586-025-09937-5,Training large language models on narrow tasks can lead to broad misalignment,2026,2026-01-14,article,,en,8,272.094,99.0,100.0,9,4,False,False,True,hybrid,https://www.nature.com/articles/s41586-025-09937-5.pdf,True,S137773608,Nature,journal,0028-0836,Nature Portfolio,https://doi.org/10.1038/s41586-025-09937-5,https://www.nature.com/articles/s41586-025-09937-5.pdf,cc-by,publishedVersion,True,T11689,Adversarial Robustness in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences,9,10,4,CA|GB|PL|US,Jan Betley,Owain Evans,LLM alignment,1,top_cited,3
W7127179963,https://openalex.org/W7127179963,https://doi.org/10.1109/tpami.2026.3660147,Jailbreak and Guard Aligned Language Models with Only Few In-Context Demonstrations,2026,2026-01-01,article,,en,8,176.9324,96.0,100.0,0,2,False,False,False,closed,,False,S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,journal,0162-8828,IEEE Computer Society,https://doi.org/10.1109/tpami.2026.3660147,,,publishedVersion,False,T11689,Adversarial Robustness in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences,5,3,3,CA|MK|RU,Zeming Wei,Yisen Wang,LLM alignment,1,top_cited,1
W4417150304,https://openalex.org/W4417150304,https://doi.org/10.1016/j.isprsjprs.2026.04.035,GAIR: Location-aware self-supervised contrastive pre-training with geo-aligned implicit representations,2026,2026-04-24,article,,en,2,15.8044,91.0,98.0,0,4,False,False,True,green,https://arxiv.org/pdf/2503.16683,True,S173339282,ISPRS Journal of Photogrammetry and Remote Sensing,journal,0924-2716,Elsevier BV,https://doi.org/10.1016/j.isprsjprs.2026.04.035,,,publishedVersion,False,T13282,Automated Road and Building Extraction,Ocean Engineering,Engineering,Physical Sciences,5,3,1,US,Zeping Liu,Gengchen Mai,foundation model,1,newest,1
W4414566366,https://openalex.org/W4414566366,https://doi.org/10.1145/3785022.3785029,The StudyChat Dataset: Analyzing Student Dialogues With ChatGPT in an Artificial Intelligence Course,2026,2026-04-25,article,,en,1,12.2862,96.0,98.0,0,4,False,False,True,gold,https://doi.org/10.1145/3785022.3785029,True,,,,,,https://doi.org/10.1145/3785022.3785029,,cc-by,publishedVersion,True,T11636,Artificial Intelligence in Healthcare and Education,Health Informatics,Medicine,Health Sciences,3,1,1,US,Hunter McNichols,Andrew Lan,large language model,1,newest,2
W4415256993,https://openalex.org/W4415256993,https://doi.org/10.1145/3767295.3769316,FlexPipe: Adapting Dynamic LLM Serving Through Inflight Pipeline Refactoring in Fragmented Serverless Clusters,2026,2026-04-24,article,,en,1,68.6653,96.0,98.0,0,2,False,False,True,gold,https://doi.org/10.1145/3767295.3769316,True,,,,,,https://doi.org/10.1145/3767295.3769316,,cc-by,publishedVersion,True,T10101,Cloud Computing and Resource Management,Information Systems,Computer Science,Physical Sciences,5,4,3,CN|MO|US,Yanying Lin,Kejiang Ye,large language model,1,newest,2
W4405955558,https://openalex.org/W4405955558,https://doi.org/10.1016/j.teler.2026.100333,AI-based wearable vision assistance system for the visually impaired: Integrating real-time object recognition and contextual understanding using large vision-language models,2026,2026-04-24,preprint,,en,1,0.0,91.0,95.0,0,3,False,False,True,gold,https://doi.org/10.1016/j.teler.2026.100333,True,S4210186116,Telematics and Informatics Reports,journal,2772-5030,Elsevier BV,https://doi.org/10.1016/j.teler.2026.100333,,cc-by,publishedVersion,True,T10914,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,6,5,3,CN|PK|SA,Mirza Samad Ahmed Baig,Maimoona Siddiqui,large language model,1,newest,2
W4415252818,https://openalex.org/W4415252818,https://doi.org/10.1109/icassp55912.2026.11464537,Agridoctor: A Multimodal Intelligent Assistant for Agriculture,2026,2026-04-21,article,,en,1,19.7492,96.0,98.0,0,3,False,False,True,green,https://arxiv.org/pdf/2509.17044,True,,,,,,https://doi.org/10.1109/icassp55912.2026.11464537,,,publishedVersion,False,T10616,Smart Agriculture and AI,Plant Science,Agricultural and Biological Sciences,Life Sciences,10,2,2,CN|US,Ming‐Qing Zhang,Liang Wang,large language model agent|multimodal large language model,2,newest,1
